idx,trend,resid
6,318.17625,-8.116352403327534
7,315.2408333333333,-0.6777546469172179
8,312.0275,0.6471972761596715
9,308.76,7.038587500518641
10,305.51916666666665,6.535438462057095
11,302.74833333333333,16.050598718467363
12,300.5808333333333,-6.405102403327488
13,298.63666666666666,-7.029845993071082
14,296.7783333333333,-5.535262659737767
15,294.94291666666663,-6.580539102045437
16,293.21875,-8.237976710957579
17,291.5179166666667,-7.546488037818454
18,290.9083333333333,-3.488435736660842
19,291.7229166666666,-1.1798379802505208
20,292.7258333333333,-0.6311360571736361
21,293.8895833333333,-1.5609958328146865
22,295.3195833333333,-1.174978204609523
23,296.96541666666667,-1.076484614865996
24,298.53541666666666,3.920314263339139
25,299.67041666666665,3.206404006928902
26,300.4975,3.5455706735955492
27,301.30791666666664,2.184460897954549
28,302.14458333333334,2.0261899557090746
29,302.8358333333333,1.4455952955149145
30,303.08916666666664,1.700730930005823
31,303.05083333333334,-2.637754646917311
32,302.96624999999995,-0.8915527238402648
33,303.14624999999995,-1.3476624994813198
34,303.61249999999995,1.1421051287237778
35,304.07374999999996,-2.2048179481992696
36,304.4466666666666,-1.890935736660777
37,304.71124999999995,-2.854429326404376
38,304.90458333333333,-1.8715126597377743
39,305.1170833333333,3.7052942312878634
40,305.16166666666663,4.869106622375799
41,304.93291666666664,4.558511962181564
42,304.8166666666666,3.7132309300058686
43,305.0204166666666,-1.997337980250573
44,305.3320833333333,-1.227386057173634
45,305.5170833333333,-0.6484958328146637
46,305.5829166666666,-2.8283115379428874
47,305.7858333333333,-7.406901281532618
48,306.265,-3.0092690699941733
49,307.19124999999997,-1.1444293264043965
50,308.60249999999996,-2.2794293264044394
51,310.10749999999996,-0.13512243537874946
52,311.64458333333334,-1.1838100442909616
53,313.5358333333333,0.3955952955149031
54,315.5433333333333,0.046564263339182954
55,317.23375,0.959328686416076
56,318.49833333333333,4.306363942826307
57,319.50874999999996,2.7798375005186777
58,320.3354166666667,1.8891884620570853
59,320.68083333333334,3.618098718467359
60,320.58125,4.934480930005792
