,0,1
135,[9.57231139],0.1436050981283188
136,[16.67201507],0.24672545492649078
137,[22.93456997],0.2798841893672943
138,[24.04550333],0.15038834512233734
139,[2.57149461],-0.18546423316001892
140,[-15.13772471],-0.6357858180999756
141,[-10.07956866],-1.0226696729660034
142,[-17.26288463],-1.2277946472167969
143,[-7.27596434],-1.178073525428772
144,[-7.88201472],-0.8972461223602295
145,[-3.11783677],-0.44982656836509705
146,[1.14343278],0.07266762852668762
147,[1.40106139],0.5733994841575623
148,[0.13826507],0.9799813628196716
149,[2.33706997],1.257811188697815
150,[2.66050333],1.3932236433029175
151,[-0.49933873],1.392087459564209
152,[-2.67689137],1.2866162061691284
153,[-1.24081866],1.1233952045440674
154,[4.34336537],0.9390737414360046
155,[2.91903566],0.7397015690803528
156,[4.75465195],0.530253529548645
157,[0.06299656],0.31109124422073364
158,[-3.24156722],0.10263264924287796
159,[-1.12810527],-0.0623285248875618
160,[1.7853484],-0.16812054812908173
161,[5.72498664],-0.22292903065681458
162,[-2.31949667],-0.25606387853622437
163,[-5.69892206],-0.2644883394241333
164,[-7.27147471],-0.22808128595352173
165,[-3.45748532],-0.1283116340637207
166,[-4.4595513],0.02589120902121067
167,[3.18153566],0.2174360156059265
168,[4.64590195],0.399682879447937
169,[1.1825799],0.5268346071243286
170,[5.60384945],0.5841885209083557
171,[9.47231139],0.5600513219833374
172,[13.7653484],0.4417130649089813
173,[11.4504033],0.21589374542236328
174,[14.49092],-0.10321907699108124
175,[-4.66350539],-0.49536439776420593
176,[-11.72730804],-0.8605234622955322
177,[-9.45248532],-1.0853737592697144
178,[-21.0620513],-1.1110122203826904
179,[-7.66763101],-0.8918209075927734
180,[-3.22243138],-0.4739910364151001
181,[6.50674656],0.048748839646577835
182,[1.63301612],0.5509137511253357
183,[4.12981139],0.9516984820365906
184,[2.57326507],1.2035964727401733
185,[8.65456997],1.299039602279663
186,[3.99175333],1.234438419342041
187,[-0.49475539],1.0406790971755981
188,[-4.76168304],0.7781456708908081
189,[-5.62165199],0.5198090672492981
190,[-9.52246796],0.32310864329338074
191,[-7.93138101],0.23215922713279724
192,[-9.61534805],0.2576441764831543
193,[-2.2974201],0.3917565941810608
194,[-1.30865055],0.5864336490631104
195,[-4.03977194],0.7867305278778076
196,[-10.7546516],0.9598943591117859
197,[-10.4883467],1.112746000289917
198,[-3.90949667],1.2582411766052246
199,[-2.81725539],1.3814996480941772
200,[-12.76293304],1.460503339767456
201,[18.32126468],1.515315294265747
202,[5.94336537],1.4617862701416016
203,[7.31861899],1.2692519426345825
204,[3.47798528],0.9421719312667847
205,[11.52841323],0.5248180627822876
206,[12.56468278],0.04293463006615639
207,[-0.29477194],-0.48007139563560486
208,[10.27743173],-0.9674926400184631
209,[3.13206997],-1.3892191648483276
210,[-2.36408],-1.7081869840621948
211,[3.19732794],-1.8824119567871094
212,[-0.53772471],-1.9135780334472656
213,[5.88959801],-1.8121637105941772
214,[0.46753204],-1.6233452558517456
215,[-18.15054767],-1.3759700059890747
216,[-11.82534805],-1.0287141799926758
217,[-11.5049201],-0.5734161138534546
218,[-1.53365055],-0.03076663613319397
219,[1.80731139],0.5283598303794861
220,[2.52576507],1.0221890211105347
221,[11.28956997],1.388890266418457
222,[7.91467],1.567383885383606
223,[7.71982794],1.542755365371704
224,[-1.32230804],1.3366715908050537
225,[-4.60581866],1.0255703926086426
226,[5.99628204],0.700097382068634
227,[12.50278566],0.3916405737400055
228,[10.46673528],0.08525143563747406
229,[18.78174656],-0.22889336943626404
230,[22.62134945],-0.5800150632858276
231,[-22.13685527],-0.9953643679618835
232,[-7.52131827],-1.3135337829589844
233,[-1.9708467],-1.4423744678497314
234,[-26.83116333],-1.3731720447540283
235,[-15.39683873],-1.0564442873001099
236,[-1.57897471],-0.5176658630371094
237,[6.12334801],0.133184552192688
238,[3.1241987],0.7546772956848145
239,[11.48820233],1.2473361492156982
240,[11.96090195],1.5310791730880737
241,[27.93799656],1.5699259042739868
242,[2.89884945],1.3150184154510498
243,[-3.76331361],0.8548154830932617
244,[-0.41173493],0.33399662375450134
245,[-5.61251336],-0.1362072229385376
246,[-14.12824667],-0.4700944423675537
247,[-21.75850539],-0.5970107316970825
248,[-21.01897471],-0.46766501665115356
249,[-16.74206866],-0.0853499323129654
250,[-7.44038463],0.4899123013019562
251,[-1.59596434],1.145949125289917
252,[4.08215195],1.75679612159729
253,[8.12049656],2.20916485786438
254,[5.83718278],2.4227211475372314
255,[4.19376973],2.3774561882019043
256,[-2.09256827],2.1052870750427246
257,[12.35498664],1.6883084774017334
258,[19.65008667],1.1608837842941284
259,[12.61607794],0.5244802236557007
260,[18.91352529],-0.18083742260932922
261,[-2.35290199],-0.9228590130805969
262,[2.2254487],-1.5834492444992065
263,[1.67070233],-2.0784096717834473
264,[-15.61909805],-2.3653719425201416
265,[-0.2286701],-2.3808679580688477
266,[-8.14115055],-2.1589741706848145
267,[-3.20435527],-1.7436573505401611
268,[0.67076507],-1.2073885202407837
269,[-1.47043003],-0.6365057229995728
270,[4.34050333],-0.09532690048217773
271,[2.16149461],0.3546159267425537
272,[-3.03855804],0.6828253865242004
